Composition,Uses
Ambroxol (30mg/5ml) + Levosalbutamol (1mg/5ml) + Guaifenesin (50mg/5ml),Treatment of Cough with mucus
Thiocolchicoside (4mg) + Aceclofenac (100mg) + Paracetamol (325mg),Treatment of Muscular pain
Chlorpheniramine Maleate (0.5mg/5ml) + Paracetamol (125mg/5ml) + Phenylephrine (5mg/5ml) + Sodium Citrate (60mg/5ml) + Menthol (1mg/5ml), Common cold
Amlodipine (5mg) + Atenolol (25mg),Treatment of Hypertension (high blood pressure)
Adapalene (0.1% w/w) + Benzoyl Peroxide (2.5% w/w), Acne
Glycopyrrolate (50mcg), Chronic obstructive pulmonary disease (COPD) General Anaesthesia Peptic ulcer disease
Ambroxol (15mg/5ml) + Guaifenesin (50mg/5ml) + Terbutaline (1.5mg/5ml),Treatment of Cough with mucus
Disodium Hydrogen Citrate (1.4gm/5ml),Treatment of GoutTreatment of Kidney stone
Atorvastatin (10mg) + Aspirin (75mg),Treatment of Prevention of heart attack and stroke
Amlodipine (5mg) + Metoprolol Succinate (50mg),Treatment of Hypertension (high blood pressure)
Atorvastatin (40mg), High cholesterolPrevention of Heart attack
Aceclofenac (100mg) + Paracetamol (500mg) + Serratiopeptidase (15mg), Pain relief
Levosalbutamol (100mcg) + Beclometasone (200mcg), Asthma
Amlodipine (5mg) + Atenolol (50mg),Treatment of Hypertension (high blood pressure)
Azithromycin (200mg/5ml),Treatment of Bacterial infections
Aripiprazole (2mg), Schizophrenia Mania
Cefuroxime (500mg),Treatment of Bacterial infections
Glycopyrrolate (12.5mcg) + Formoterol (12mcg) + Fluticasone Propionate (250mcg), General Anaesthesia Peptic ulcer disease
Amoxycillin  (200mg/5ml) +  Clavulanic Acid (28.5mg/5ml),Treatment of Resistant Tuberculosis (TB)Treatment of Bacterial infections
Azithromycin (100mg/5ml),Treatment of Bacterial infections
Amlodipine (5mg) + Metoprolol Succinate (50mg),Treatment of Hypertension (high blood pressure)
Human insulin (100IU), Diabetes
Acamprosate (333mg), Alcohol addiction
Aluminium Hydroxide (1.57gm) + Milk Of Magnesia (1.27gm) + Simethicone (50mg) + Oxetacaine (10mg), Acidity Heartburn Stomach ulcers
Ketoconazole (2% w/v) + Zinc pyrithione (1% w/v),Treatment of Fungal skin infectionsTreatment of Dandruff
Camylofin (20mg/ml), Abdominal cramp
Carbimazole (10mg), Hyperthyroidism
Amoxycillin (250mg) + Cloxacillin (250mg) + Lactobacillus (60Million spores), Bacterial infections
Brimonidine (0.1% w/v) + Stabilized Oxychloro (0.005% w/v),Treatment of Glaucoma
Azithromycin (1% w/v),Treatment of Bacterial eye infections
Sodium acid phosphate (1.936gm),Treatment of High calcium levels in the bloodTreatment of Hyperparathyroidism
Glimepiride (1mg),Treatment of Type 2 diabetes mellitus
Donepezil (23mg), Alzheimer's disease
Aceclofenac (100mg) + Paracetamol (325mg), Pain relief
Amantadine (100mg),Treatment of Parkinson's disease
Melatonin (5mg),Treatment of InsomniaTreatment of Jet lag
Azathioprine (50mg), Prevention of organ rejection in transplant patientsTreatment of Rheumatoid arthritis
Hydrochlorothiazide (25mg),Treatment of Hypertension (high blood pressure)Treatment of Edema
Ambroxol (15mg/5ml) + Levosalbutamol (0.5mg/5ml) + Guaifenesin (50mg/5ml),Treatment of Cough with mucus
Ambroxol (15mg/5ml) + Guaifenesin (50mg/5ml) + Menthol (1mg/5ml) + Terbutaline (1.25mg/5ml), Cough
Carboxymethylcellulose (1% w/v),Treatment of Dry eyes
Ambroxol (7.5mg/ml) + Levosalbutamol (0.25mg/ml) + Guaifenesin (12.5mg/ml),Acute Sore throatTreatment of Cough with mucus
Epalrestat (50mg), Diabetic nerve pain
Itraconazole (100mg),Treatment of Fungal infections
Aspirin (75mg) + Glycine (37.5mg), Prevention of heart attack and stroke
Amoxycillin  (200mg) +  Clavulanic Acid (28.5mg),Treatment of Resistance Tuberculosis (TB)Treatment of Bacterial infections
Atorvastatin (20mg) + Clopidogrel (75mg), Heart attack prevention and high cholesterol
Atorvastatin (20mg), High cholesterolPrevention of Heart attack
Nimesulide (100mg) + Camylofin (50mg),Treatment of Abdominal cramp
Amlodipine (5mg) + Hydrochlorothiazide (12.5mg), Hypertension (high blood pressure)
Pregabalin (75mg) + Nortriptyline (10mg),Treatment of Neuropathic pain
Glimepiride (2mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Atorvastatin (80mg), High cholesterolPrevention of Heart attack
Azilsartan medoxomil (40mg), Hypertension (high blood pressure) Heart failure Prevention of heart attack and stroke
Ambroxol (30mg) + Guaifenesin (50mg) + Menthol (0.5mg) + Terbutaline (2.5mg), Cough
Amlodipine (2.5mg),Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)
Amlodipine (2.5mg),Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)
Azithromycin (200mg/5ml),Treatment of Bacterial infections
Ursodeoxycholic Acid (150mg),Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
Atorvastatin (20mg), High cholesterolPrevention of Heart attack
Metronidazole (400mg),Treatment of Bacterial infectionsTreatment of Parasitic infections
Alpha Ketoanalogue (200mg),Treatment of Chronic kidney disease
Atorvastatin (40mg), High cholesterolPrevention of Heart attack
Eperisone (150mg) + Aceclofenac (200mg), Pain due to muscle spasm
Amikacin (500mg), Bacterial infections
Nepafenac (0.1% w/v),Treatment of Post-operative eye pain and inflammation
Azelaic Acid (15% w/w),Treatment of Acne
Adapalene (0.1% w/w) + Clindamycin (1% w/w),Treatment of Acne
Acotiamide (100mg),Treatment of Functional dyspepsia
Aceclofenac (100mg) + Paracetamol (325mg), Pain relief
Alpha Ketoanalogue (NA),Treatment of Chronic kidney disease
Atorvastatin (10mg) + Fenofibrate (160mg),Treatment of High cholesterolPrevention of Heart attack
Amorolfine (0.25% w/w), Fungal nail infections
Racecadotril (10mg),Treatment of Diarrhea
Epalrestat (150mg), Diabetic nerve pain
Tranexamic Acid (250mg) + Glutathione (50mg),Treatment of Melasma
Metadoxine (500mg), Alcoholic fatty liver disease
Aceclofenac (100mg), Pain relief
Acetic acid (2% w/v), Ear infection
Amoxycillin  (80mg) +  Clavulanic Acid (11.4mg),Treatment of Resistant Tuberculosis (TB)Treatment of Bacterial infections
Clindamycin (1% w/w) + Zinc acetate (1% w/w),Treatment of Acne
Azithromycin (100mg/5ml),Treatment of Bacterial infections
Apremilast (20mg), Plaque psoriasis
Telmisartan (40mg) + Metoprolol Succinate (50mg),Treatment of Hypertension (high blood pressure)
Acebrophylline (200mg),Treatment of AsthmaTreatment of BronchitisTreatment of Chronic obstructive pulmonary disease (COPD)
Glimepiride (3mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Acitretin (25mg), Psoriasis
Atorvastatin (5mg), High cholesterolPrevention of Heart attack
Amikacin (500mg), Bacterial infections
Amlodipine (2.5mg),Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)
Amlodipine (2.5mg) + Atenolol (50mg),Treatment of Hypertension (high blood pressure)
Rosuvastatin (10mg),Treatment of High cholesterol Prevention of heart attack and stroke
Atorvastatin (40mg), High cholesterolPrevention of Heart attack
Itraconazole (200mg),Treatment of Fungal infections
Azathioprine (50mg), Prevention of organ rejection in transplant patientsTreatment of Rheumatoid arthritis
Glimepiride (3mg),Treatment of Type 2 diabetes mellitus
Levocetirizine (5mg) + Phenylephrine (20mg), Sneezing and runny nose due to allergies
Apremilast (30mg), Plaque psoriasis
Edaravone (1.5mg), Amyotrophic lateral sclerosis (ALS)
Aspirin (75mg) + Atorvastatin (20mg) + Clopidogrel (75mg),Prevention of Heart attack
Ambroxol (NA) + Levosalbutamol (NA) + Guaifenesin (NA),Treatment of Cough with mucus
Loratadine (10mg),Treatment of Allergic conditions
Potassium Chloride (750mg),Treatment of Potassium deficiency
Atenolol (50mg) + Indapamide (2.5mg), Hypertension (high blood pressure)
Adapalene (0.1% w/w) + Clindamycin (1% w/w),Treatment of Acne
Disodium Hydrogen Citrate (1.37gm/5ml),Treatment of GoutTreatment of Kidney stone
Clindamycin (1% w/v),Treatment of Bacterial infections
L-Leucine (5.6mg) + L-Isoleucine (12.5mg), Nutritional deficiencies
Fluconazole (300mg),Treatment of Fungal infections
Aceclofenac (100mg) + Paracetamol (325mg) + Serratiopeptidase (15mg), Pain relief
Atorvastatin (10mg), High cholesterolPrevention of Heart attack
Ambrisentan (5mg), Pulmonary arterial hypertension (PAH)
Fluticasone Propionate (27.5mcg) + Azelastine (140mcg),Treatment of Sneezing and runny nose due to allergies
Vitamin D3 (300000IU),Treatment of Vitamin D deficiencyTreatment of Osteoporosis
Acyclovir (25mg/ml), Herpes Simplex Virus Infections Chickenpox Shingles Herpes labialis Genital herpes infection
Salbutamol (2mg),Treatment of Chronic obstructive pulmonary disease (COPD)Treatment and prevention of Asthma
Dextromethorphan Hydrobromide (5mg), Dry cough
Azithromycin (250mg),Treatment of Bacterial infections
Azithromycin (500mg),Treatment of Bacterial infections
Torasemide (10mg) + Amiloride (5mg), Edema
Amlodipine (5mg) + Atenolol (50mg),Treatment of Hypertension (high blood pressure)
Amlodipine (5mg),Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)
Amlodipine (5mg) + Metoprolol Succinate (50mg),Treatment of Hypertension (high blood pressure)
Atorvastatin (40mg), High cholesterolPrevention of Heart attack
Atorvastatin (10mg) + Fenofibrate (160mg),Treatment of High cholesterolPrevention of Heart attack
Formoterol (12mcg) + Glycopyrrolate (12.5mcg), Chronic obstructive pulmonary disease (COPD)
Benfotiamine (50mg) + Levo-carnitine (50mg) + Resveratrol (25mg) + Vitamin B6 (Pyridoxine) (25mg), Nutritional deficiencies
Ambroxol (30mg),Treatment of Respiratory tract disorders associated with viscid mucus
Guaifenesin (100mg) + Terbutaline (2.5mg) + Bromhexine (4mg),Treatment of Cough with mucus
L-Ornithine L-Aspartate (500mg),Treatment of Liver  disease
Telmisartan (40mg) + Hydrochlorothiazide (12.5mg),Treatment of Hypertension (high blood pressure)
Aceclofenac (100mg) + Paracetamol (325mg), Pain relief
Amlodipine (5mg) + Atenolol (50mg),Treatment of Hypertension (high blood pressure)
Etofylline (50mg) + Salbutamol (1mg),Treatment of Asthma
Adapalene (0.1% w/w), Acne
Timolol (0.5% w/v) + Brimonidine (0.2% w/v),Treatment of Ocular hypertensionTreatment of Glaucoma
Amitriptyline (10mg) + Propranolol (40mg), Migraine
Amlodipine (5mg) + Atenolol (50mg),Treatment of Hypertension (high blood pressure)
Hydroxyprogesterone (500mg),Prevention of Premature Labor
Lidocaine (1.5% w/w) + Nifedipine (0.3% w/w),Treatment of Anal fissure
Sodium Bicarbonate (500mg),Treatment of IndigestionTreatment of Alkalinizing agentTreatment of Metabolic acidosis
Cetirizine (5mg) + Paracetamol (325mg) + Phenylephrine (10mg),Treatment of Common cold
Melatonin (3mg/5ml),Treatment of InsomniaTreatment of Jet lag
Chlorpheniramine Maleate (2mg/ml) + Phenylephrine (2.5mg/ml),Treatment of Common cold
Aripiprazole (2.5mg), Schizophrenia Mania
Amoxycillin  (200mg) +  Clavulanic Acid (28.5mg),Treatment of Resistance Tuberculosis (TB)Treatment of Bacterial infections
Adapalene (0.1% w/w), Acne
Insulin Glulisine (100IU), Diabetes
Glimepiride (2mg),Treatment of Type 2 diabetes mellitus
Aspirin (75mg) + Atorvastatin (10mg) + Clopidogrel (75mg),Prevention of Heart attack
Hydroxyzine (25mg),Treatment of AnxietyTreatment of Skin conditions with inflammation & itching
Levocetirizine (5mg) + Montelukast (10mg),Treatment of Sneezing and runny nose due to allergiesTreatment of Hay feverTreatment of Allergic skin conditions
Nitroglycerin (6.5mg),Treatment of Angina (heart-related chest pain)
Salbutamol (200mcg),Treatment of Chronic obstructive pulmonary disease (COPD)Treatment and prevention of Asthma
Fexofenadine (120mg),Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions
Sildenafil (20mg),Treatment of Pulmonary arterial hypertension (PAH)
Glimepiride (1mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Clindamycin (1% w/w) + Nicotinamide (4% w/w),Treatment of Acne
Disodium Hydrogen Citrate (1.53gm/5ml),Treatment of GoutTreatment of Kidney stone
Aspirin (75mg) + Atorvastatin (10mg) + Clopidogrel (75mg),Prevention of Heart attack
Desloratadine (5mg),Treatment of Allergic conditions
Aspirin (75mg) + Atorvastatin (20mg) + Clopidogrel (75mg),Prevention of Heart attack
Aztreonam (1gm), Severe bacterial infections
Nitroglycerin (2.6mg),Treatment of Angina (heart-related chest pain)
Ambroxol (15mg/5ml) + Guaifenesin (50mg/5ml) + Menthol (2.5mg/5ml) + Terbutaline (1.25mg/5ml), Cough
"Rabies vaccine, Human (2.5IU)", Prevention of Rabies
Ethosuximide (250mg/5ml),Treatment of Epilepsy/Seizures
Telmisartan (40mg) + Metoprolol Succinate (25mg),Treatment of Hypertension (high blood pressure)
Levocetirizine (5mg),Treatment of Allergic conditions
Benfotiamine (50mg) + Levo-carnitine (50mg) + Resveratrol (25mg) + Vitamin B6 (Pyridoxine) (25mg), Nutritional deficiencies
Acitretin (10mg), Psoriasis
Amlodipine (5mg) + Metoprolol Succinate (50mg),Treatment of Hypertension (high blood pressure)
Cyproheptadine (2mg/5ml),Treatment of Allergic conditions Appetite stimulant
Atorvastatin (10mg) + Ezetimibe (10mg), High cholesterol
Telmisartan (40mg) + Amlodipine (5mg),Treatment of Hypertension (high blood pressure)
Ticagrelor (60mg), Prevention of heart attack and stroke
Clindamycin (1% w/w) + Nicotinamide (4% w/w),Treatment of Acne
Amlodipine (5mg) + Metoprolol Succinate (50mg),Treatment of Hypertension (high blood pressure)
Aspirin (75mg) + Atorvastatin (20mg) + Clopidogrel (75mg),Prevention of Heart attack
Amorolfine (0.25% w/w), Fungal nail infections
Silodosin (8mg) + Dutasteride (0.5mg),Treatment of Benign prostatic hyperplasia
Amlodipine (2.5mg),Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)
Atorvastatin (10mg) + Clopidogrel (75mg), Heart attack prevention and high cholesterol
Domperidone (30mg) + Pantoprazole (40mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Gabapentin (8% w/w) + Capsaicin Based Rubefacients (0.025% w/w) + Ketoprofen (5% w/w) + Methyl Salicylate (5% w/w), Neuropathic pain
Hydrocortisone (1% w/v) + Acetic acid (2% w/v),Treatment of Ear infection
Amitriptyline (10mg) + Methylcobalamin (1500mcg), Neuropathic pain
Telmisartan (40mg) + Chlorthalidone (12.5mg), Hypertension (high blood pressure)
Clonidine (100mcg) + Hydrochlorothiazide (20mg), Hypertension (high blood pressure)
Acotiamide (100mg),Treatment of Functional dyspepsia
Amlodipine (2.5mg),Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)
Brimonidine (0.2% w/v), Ocular hypertension Glaucoma
Hydroxypropylmethylcellulose (0.3% w/w), Dry eyes
Hydroquinone (2% w/w) + Tretinoin (0.05% w/w) + Hydrocortisone (1% w/w), Melasma
Atropine (1% w/v) + Chloramphenicol (0.5% w/v) + Dexamethasone (0.1% w/v),Treatment of Uveitis
Aceclofenac (100mg) + Paracetamol (325mg), Pain relief
Atorvastatin (20mg) + Clopidogrel (75mg), Heart attack prevention and high cholesterol
Rosuvastatin (10mg),Treatment of High cholesterol Prevention of heart attack and stroke
Telmisartan (40mg) + Atorvastatin (10mg), High blood pressure with high cholesterol
Amikacin (500mg), Bacterial infections
Alpha Ketoanalogue (NA),Treatment of Chronic kidney disease
Miconazole (2% w/w) + Mometasone (0.1% w/w) + Nadifloxacin (1% w/w),Treatment of Skin infections
Albendazole (400mg),Treatment of Parasitic infections
Amoxycillin  (500mg) +  Clavulanic Acid (125mg),Treatment of Bacterial infections
S-Amlodipine (2.5mg) + Telmisartan (40mg), Hypertension (high blood pressure)
Amlodipine (5mg) + Metoprolol Succinate (25mg),Treatment of Hypertension (high blood pressure)
Fenofibrate (45mg), High cholesterol
Amlodipine (10mg),Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)
Recombinant Human Erythropoietin Alfa (4000IU),Treatment of Anemia due to chronic kidney diseaseTreatment of Anemia due to cancer chemotherapy
Metoprolol Succinate (25mg) + Ramipril (2.5mg), Hypertension (high blood pressure)
Aceclofenac (200mg) + Rabeprazole (20mg), Pain relief
Pancreatin (350mg),Treatment of Pancreatic enzyme deficiency
Telmisartan (40mg) + Amlodipine (5mg),Treatment of Hypertension (high blood pressure)
Acebrophylline (50mg/5ml),Treatment of AsthmaTreatment of BronchitisTreatment of Chronic obstructive pulmonary disease (COPD)
Amoxycillin  (500mg) +  Clavulanic Acid (125mg),Treatment of Bacterial infections
Carbimazole (5mg), Hyperthyroidism
Dapsone (5% w/w) + Adapalene (0.1% w/w),Treatment of Acne
Polidocanol (30mg), Varicose veins
Pancreatin (170mg),Treatment of Pancreatic enzyme deficiency
Azithromycin (250mg),Treatment of Bacterial infections
Diltiazem (90mg),Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of Arrhythmia
Amlodipine (5mg) + Atenolol (25mg),Treatment of Hypertension (high blood pressure)
Azelastine (0.1% w/v),Treatment of Sneezing and runny nose due to allergies
Epalrestat (150mg), Diabetic nerve pain
Bromelain (180mg) + Trypsin (96mg) + Rutoside (200mg), Pain relief
Azithromycin (500mg),Treatment of Bacterial infections
Alogliptin (25mg),Treatment of Type 2 diabetes mellitus
Trypsin (48mg) + Bromelain (90mg) + Rutoside (100mg) + Diclofenac (50mg), Pain relief
Allylestrenol (5mg),Treatment of Premature LaborTreatment of Recurrent miscarriage
Aspirin (75mg) + Atorvastatin (10mg) + Clopidogrel (75mg),Prevention of Heart attack
